block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.31997790932655334,0.23374423384666443,0.22843018174171448,0.21235094964504242,0.2273777425289154,0.2280685305595398,0.21178887784481049,0.2071739286184311,0.19058245420455933,0.18429149687290192,0.17739243805408478,0.1753622144460678,0.18669448792934418,0.17397920787334442,0.17754735052585602,0.17371563613414764,0.16661404073238373,0.15219108760356903,0.13133752346038818,0.11606753617525101,0.11253143846988678,0.1126764640212059,0.10358147323131561,0.09243552386760712,0.0932222530245781,0.09041815996170044,0.09862828999757767,0.09953751415014267,0.10219684988260269,0.11437807977199554,0.1574174165725708,0.310491144657135
2,0.3822766840457916,0.2972639203071594,0.2925305664539337,0.28489455580711365,0.28931623697280884,0.28307202458381653,0.2707785367965698,0.2585667371749878,0.23963439464569092,0.23431849479675293,0.2294735461473465,0.2273479551076889,0.2347540408372879,0.22818483412265778,0.22889037430286407,0.22280718386173248,0.2123059183359146,0.19037467241287231,0.16989967226982117,0.15675507485866547,0.15322533249855042,0.15108367800712585,0.13806216418743134,0.13040825724601746,0.1286563128232956,0.13121330738067627,0.13932214677333832,0.14164918661117554,0.15032516419887543,0.20341911911964417,0.3615056574344635,
3,0.41270968317985535,0.3374355435371399,0.33336183428764343,0.3264947831630707,0.32458439469337463,0.318030446767807,0.3037470579147339,0.2885897159576416,0.27306944131851196,0.2685016989707947,0.2589374780654907,0.26076969504356384,0.2693289518356323,0.26429620385169983,0.2601781487464905,0.2550683915615082,0.23871761560440063,0.21537844836711884,0.19730602204799652,0.18681327998638153,0.1805964559316635,0.17690476775169373,0.1653115302324295,0.15717244148254395,0.1602235585451126,0.16496136784553528,0.17291055619716644,0.1799159198999405,0.2263992577791214,0.3823380768299103,,
4,0.4330132305622101,0.3669430613517761,0.36351171135902405,0.3510611951351166,0.34917593002319336,0.34039750695228577,0.3227325677871704,0.3105311691761017,0.2963711619377136,0.2883150577545166,0.28419509530067444,0.2870883047580719,0.29428771138191223,0.2893258333206177,0.28521233797073364,0.27551302313804626,0.25812187790870667,0.23584789037704468,0.22028771042823792,0.20979487895965576,0.20216701924800873,0.19879797101020813,0.18658502399921417,0.18471993505954742,0.18940521776676178,0.1940687596797943,0.20412765443325043,0.2472827285528183,0.3925397992134094,,,
5,0.44858217239379883,0.3854183852672577,0.38104552030563354,0.3694092631340027,0.36529627442359924,0.3519059121608734,0.3403179943561554,0.32663920521736145,0.31044942140579224,0.30837371945381165,0.3030674159526825,0.3065323829650879,0.3147193491458893,0.3112339675426483,0.30211788415908813,0.2913587987422943,0.2741929590702057,0.2557770311832428,0.24004322290420532,0.22892563045024872,0.2211722582578659,0.21711905300617218,0.21133553981781006,0.2105357050895691,0.21469682455062866,0.22312664985656738,0.263440877199173,0.40281012654304504,,,,
6,0.4578403830528259,0.3983345627784729,0.39538225531578064,0.3822307884693146,0.3726196587085724,0.36469265818595886,0.35244548320770264,0.3382070064544678,0.3262229561805725,0.32222339510917664,0.31791171431541443,0.3233400881290436,0.33187153935432434,0.3254934251308441,0.3154640197753906,0.3046399652957916,0.2903302013874054,0.2736634612083435,0.25727006793022156,0.24613727629184723,0.23708024621009827,0.24015621840953827,0.23354041576385498,0.2341434359550476,0.24025391042232513,0.2772621214389801,0.4088083505630493,,,,,
7,0.4656437337398529,0.4098317325115204,0.4052610397338867,0.3878157436847687,0.38247114419937134,0.3735475242137909,0.36041730642318726,0.3490094244480133,0.33567652106285095,0.33318936824798584,0.3319176137447357,0.33897608518600464,0.34361207485198975,0.3366985619068146,0.3269844949245453,0.31835755705833435,0.3060265779495239,0.2894590198993683,0.2724131941795349,0.2598473131656647,0.25764358043670654,0.2596425712108612,0.2552756369113922,0.2577827274799347,0.29012101888656616,0.4159214496612549,,,,,,
8,0.4711250960826874,0.4170118272304535,0.40894389152526855,0.3955812156200409,0.38916558027267456,0.3785543739795685,0.3677244782447815,0.3557893931865692,0.3436805307865143,0.34500420093536377,0.34656086564064026,0.3492909371852875,0.35350704193115234,0.3467893898487091,0.33888402581214905,0.33184799551963806,0.31966114044189453,0.30194348096847534,0.2838901877403259,0.27972784638404846,0.2756800055503845,0.2794002294540405,0.276313453912735,0.30343514680862427,0.42128705978393555,,,,,,,
9,0.47456905245780945,0.4198929965496063,0.4158768951892853,0.40058669447898865,0.39252445101737976,0.3835417628288269,0.3714487850666046,0.3615214228630066,0.35458824038505554,0.35759568214416504,0.3553820848464966,0.35872581601142883,0.3617595434188843,0.3575384020805359,0.3505292236804962,0.3439653217792511,0.3308754861354828,0.3123275637626648,0.30226367712020874,0.29572761058807373,0.29395878314971924,0.29887449741363525,0.3171444535255432,0.42608973383903503,,,,,,,,
10,0.4765506982803345,0.4259856343269348,0.41916152834892273,0.4035455584526062,0.3955360949039459,0.3848724365234375,0.3753573000431061,0.36977627873420715,0.36541563272476196,0.36577504873275757,0.363994300365448,0.36670055985450745,0.3709118366241455,0.3679800033569336,0.36122992634773254,0.3534291386604309,0.339435875415802,0.3284449875354767,0.31587618589401245,0.31313246488571167,0.3122202754020691,0.3348027467727661,0.4312511086463928,,,,,,,,,
11,0.4785459637641907,0.4288814961910248,0.42134889960289,0.40578407049179077,0.3958961069583893,0.3868147134780884,0.3813368082046509,0.3786386251449585,0.3726367652416229,0.3733874559402466,0.3714844584465027,0.37561437487602234,0.37984034419059753,0.3779738247394562,0.36946532130241394,0.3604678511619568,0.35402610898017883,0.34096038341522217,0.33199676871299744,0.3295386731624603,0.34603235125541687,0.4382108449935913,,,,,,,,,,
12,0.47908616065979004,0.42970606684684753,0.42239367961883545,0.40501999855041504,0.39659371972084045,0.3923559784889221,0.38911452889442444,0.3847971260547638,0.3794131577014923,0.3799232244491577,0.3799768090248108,0.3844011723995209,0.3883424699306488,0.38519662618637085,0.37588104605674744,0.3734661340713501,0.3647289276123047,0.3561713695526123,0.34653377532958984,0.3598589599132538,0.44353482127189636,,,,,,,,,,,
13,0.47999343276023865,0.4297473132610321,0.42040005326271057,0.4050987958908081,0.40138179063796997,0.39879438281059265,0.39395007491111755,0.3908579647541046,0.38524776697158813,0.38782453536987305,0.38856106996536255,0.39297306537628174,0.39476436376571655,0.39136257767677307,0.3876916766166687,0.38254162669181824,0.3785051703453064,0.36935293674468994,0.37368345260620117,0.4482240080833435,,,,,,,,,,,,
14,0.480378657579422,0.42919063568115234,0.42075395584106445,0.40863174200057983,0.40692898631095886,0.4033193290233612,0.39927515387535095,0.3955031931400299,0.39270761609077454,0.39585646986961365,0.3970582187175751,0.39921343326568604,0.40031543374061584,0.4021768271923065,0.39582303166389465,0.39477330446243286,0.38984188437461853,0.3935184180736542,0.4531295895576477,,,,,,,,,,,,,
15,0.4797847867012024,0.4278576374053955,0.4239198565483093,0.4133955240249634,0.4106305241584778,0.40780138969421387,0.4029281735420227,0.40275469422340393,0.40027570724487305,0.40358054637908936,0.4030793309211731,0.4047059118747711,0.41010814905166626,0.4097125232219696,0.4071148931980133,0.40457460284233093,0.4104654788970947,0.46188291907310486,,,,,,,,,,,,,,
16,0.47879907488822937,0.43048423528671265,0.4276503920555115,0.41647449135780334,0.4144535958766937,0.4108630418777466,0.4094095528125763,0.40987569093704224,0.40758296847343445,0.4092627465724945,0.40852493047714233,0.4142783284187317,0.41666218638420105,0.4201645851135254,0.41582074761390686,0.4226122796535492,0.467685341835022,,,,,,,,,,,,,,,
